San Francisco,San Jose,Sacramento,Oakland,Walnut Creek,Association,Association Pool,BARI,BERD,CCRD,EBRD,MLS,MLSL,SACM,Week or Weekend,# of Rooms_n,# of Units_n,Association Total_n,Bathrooms_n,Bedrooms_n,Selling Date_n,DOM_n,Latitude_n,Longitude_n,On Market Date_n,Days_Between_n,Date of Week_n,Square Footage_n,Selling Price_n,SP%LP_n
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0005970149253731343,0.06747638326585695,0.5,0.5,0.8383561643835691,0.022413793103448276,0.9511104508455196,0.010964626829282897,0.9615384615384599,0.00952914798206278,0.8333333333333334,1.0,0.5172161055432514,0.5367988760402032
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.00029850746268656717,0.0,0.25,1.0,0.9643835616438423,0.2120689655172414,0.951215295831478,0.010919633421826558,0.9261133603238854,0.07455156950672645,0.8333333333333334,0.96277766659996,0.36704322748203505,0.5499837890413919
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.021791044776119404,0.5428137651821862,0.625,0.5,0.9917808219178141,0.0,0.9509550960451544,0.011255145303099234,0.998481781376519,0.003923766816143498,0.16666666666666666,0.8729237542525515,1.0000000000000002,0.5367988760402032
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.021791044776119404,0.5196356275303643,0.5,0.375,1.0,0.0,0.9509550960451544,0.011255145303099234,1.0,0.008408071748878924,0.6666666666666666,0.8002801681008606,0.9032042191807014,0.5367988760402032
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.36666666666666664,0.0008955223880597015,0.0680161943319838,0.5,0.75,0.9260273972602704,0.10689655172413792,0.9512197755260292,0.010999022148662996,0.9428137651821871,0.04820627802690583,0.5,0.6994196517910747,0.3383629961281688,0.5067545660866746
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.23333333333333334,0.0037313432835820895,0.5317813765182186,0.375,0.375,0.5369863013698648,0.6258620689655172,0.951128394790548,0.01118051440696155,0.7272267206477743,0.20739910313901344,0.6666666666666666,0.6922153291975185,0.3264128997307245,0.4728736625959148
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.03507462686567164,0.3456477732793522,0.375,0.375,0.9452054794520564,0.05172413793103448,0.9508195475347434,0.01136300023601744,0.9630566801619445,0.03139013452914798,0.16666666666666666,0.6710026015609366,0.23838052293621836,0.5367988760402032
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.007761194029850746,0.4026315789473684,0.5,0.5,0.3506849315068479,0.3586206896551724,0.9510073172035469,0.01124924042323383,0.7560728744939276,0.1384529147982063,0.8333333333333334,0.6708024814888933,0.3973168050222272,0.67053928455636
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.00029850746268656717,0.0,0.375,0.375,0.6301369863013662,0.034482758620689655,0.9509800615338896,0.01100092851206691,0.9175101214574894,0.01569506726457399,0.33333333333333337,0.6659995997598559,0.4419304982393525,0.5367988760402032
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.2084008097165992,0.375,0.25,0.9589041095890423,0.020689655172413793,0.942326852003878,0.013232383420990645,0.9746963562753024,0.020179372197309416,0.5,0.6549929957974785,0.6649989643249788,0.44785474981087214
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.1366396761133603,0.5,0.375,0.27397260273973245,0.33793103448275863,0.9214168961797062,0.015007401617471605,0.7348178137651828,0.14517937219730942,0.8333333333333334,0.6531919151490895,0.20292857029046701,0.4565005944018156
0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0.3,0.011194029850746268,0.02854251012145749,0.5,0.375,0.2931506849315042,0.06551724137931034,0.9489350809712339,0.015296700341822178,0.7606275303643706,0.12051569506726457,0.0,0.6477886732039224,0.09074186198435336,0.5573327569436939
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.26666666666666666,0.00044776119402985075,0.059716599190283395,0.375,0.5,0.03287671232877187,0.10517241379310345,0.9505877862587734,0.01097264001782794,0.7874493927125492,0.03867713004484305,0.6666666666666666,0.6453872323394036,0.17902837749557846,0.513779314816816
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.1437246963562753,0.5,0.375,0.8219178082191831,0.14482758620689656,0.9214125171524484,0.015006553447313276,0.9144736842105274,0.05829596412556054,0.5,0.6407844706824095,0.21209031086184096,0.5201015886739435
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.26666666666666666,0.0011940298507462687,0.15111336032388664,0.25,0.5,0.15616438356164508,0.21379310344827585,0.9511385621871699,0.01103291664375916,0.780870445344128,0.0773542600896861,0.8333333333333334,0.6267760656393837,0.22682876308535557,0.4739543931697828
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.02742914979757085,0.5,0.5,0.7479452054794535,0.07413793103448275,0.938302777622023,0.015655015883642043,0.9215587044534423,0.03531390134529148,0.5,0.626175705423254,0.11107216264877871,0.5399870312331135
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.00029850746268656717,0.020242914979757085,0.25,0.625,0.8602739726027409,0.027586206896551724,0.9508959540103482,0.010796139846747987,0.954453441295545,0.021860986547085202,0.8333333333333334,0.6147688613167901,0.25869568681187366,0.5168053604236463
0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.3,0.008955223880597015,0.0430161943319838,0.5,0.375,0.23287671232877472,0.3913793103448276,0.9507940032090719,0.013202188563347761,0.7135627530364381,0.16031390134529147,0.8333333333333334,0.6141685011006605,0.10393596341677157,0.5012428401599481
0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.3,0.008955223880597015,0.0430161943319838,0.5,0.375,0.7479452054794535,0.2706896551724138,0.950786427995252,0.013205209664674422,0.8476720647773277,0.12219730941704035,0.6666666666666666,0.6141685011006605,0.11142030879049092,0.5243164379120284
0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.3,0.008955223880597015,0.0430161943319838,0.5,0.375,0.27397260273973245,0.04827586206896552,0.9507916123608563,0.013203238678782037,0.8284412955465577,0.043161434977578475,0.16666666666666666,0.6141685011006605,0.10743335829575693,0.5183724197557549
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.23333333333333334,0.0034328358208955225,0.367914979757085,0.375,0.375,0.4986301369863071,0.0,0.9511728394005341,0.011008198541996972,0.9033400809716596,0.005044843049327354,0.33333333333333337,0.5917550530318191,0.442756010898488,0.49762239273749054
0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.3,0.008955223880597015,0.0430161943319838,0.5,0.375,0.22465753424657464,0.17586206896551723,0.950794884047888,0.013201816984040216,0.7697368421052637,0.09809417040358744,0.6666666666666666,0.5839503702221334,0.08980099106132791,0.4927050686263914
0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.3,0.008955223880597015,0.0430161943319838,0.5,0.375,0.40821917808219155,0.04310344827586207,0.9507844146493863,0.01320570241114738,0.8228744939271238,0.0795964125560538,0.6666666666666666,0.5839503702221334,0.10740746642022914,0.5074030044309953
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.23333333333333334,0.00029850746268656717,0.0,0.375,0.375,0.1589041095890451,0.03620689655172414,0.9506605183781732,0.011063030723291734,0.8269230769230766,0.01961883408071749,0.8333333333333334,0.5607364418651191,0.25471232134605887,0.5737598616664865
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.018955223880597016,0.09999999999999999,0.25,0.25,0.22465753424657464,0.25689655172413794,0.9508981686908005,0.011326633930745067,0.7621457489878551,0.10538116591928251,0.5,0.551731038623174,0.3861633817179459,0.521128282719118
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.09939271255060729,0.375,0.375,0.7452054794520535,0.05517241379310345,0.9438370879045931,0.012357031428355536,0.9185222672064768,0.03811659192825112,0.6666666666666666,0.551731038623174,0.1256512802536607,0.5300443099535286
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.26666666666666666,0.00029850746268656717,0.033400809716599186,0.5,0.5,0.13150684931507328,0.0,0.9496313211384302,0.011027593366288335,0.8390688259109318,0.002802690582959641,0.16666666666666666,0.5515309185511307,0.13521135737161613,0.5082135523613962
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.4,0.00029850746268656717,0.0,0.375,0.5,0.42191780821917746,0.0,0.9512610742831002,0.010925554457314135,0.8932186234817792,0.018497757847533634,0.5,0.5361216730038023,0.3582798234572426,0.5367988760402032
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.23333333333333334,0.00029850746268656717,0.048582995951417005,0.375,0.5,0.5369863013698648,0.20862068965517241,0.9504644184908501,0.010952922081095218,0.8405870445344128,0.08295964125560538,0.6666666666666666,0.5357214328597159,0.19496183935883749,0.5270723008753917
0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.26666666666666666,0.008955223880597015,0.0430161943319838,0.375,0.5,0.2547945205479465,0.15344827586206897,0.9507908321893334,0.013203545635601444,0.7798582995951406,0.09248878923766816,0.5,0.532319391634981,0.08515559025509474,0.5231276342807738
0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.26666666666666666,0.008955223880597015,0.0430161943319838,0.375,0.5,0.6465753424657521,0.2396551724137931,0.9507824013035205,0.013206195157620337,0.8355263157894726,0.11154708520179372,0.16666666666666666,0.532319391634981,0.09423407848823315,0.5658705284772505
0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.26666666666666666,0.008955223880597015,0.0430161943319838,0.375,0.5,0.4246575342465775,0.06206896551724138,0.9507853709886723,0.013205451999005247,0.8254048582995956,0.07679372197309417,0.33333333333333337,0.532319391634981,0.10050070903905292,0.5105911596239058
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.00791044776119403,0.12317813765182185,0.25,0.375,0.5013698630136929,0.12586206896551724,0.951013181073381,0.011335883024378268,0.8694331983805661,0.042600896860986545,0.8333333333333334,0.5229137482489494,0.27861251414094745,0.4820058359450988
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.16666666666666666,0.06253731343283582,0.2978744939271255,0.375,0.25,0.7917808219178113,0.1810344827586207,0.951063867055551,0.011306980616500706,0.9068825910931153,0.061098654708520175,0.33333333333333337,0.5155093055833501,0.3423463615939836,0.4909218631795093
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.062238805970149254,0.2978744939271255,0.375,0.25,0.6328767123287662,0.0,0.951063867055551,0.011306980616500706,0.9321862348178129,0.0,0.5,0.5155093055833501,0.39014674718376063,0.5367988760402032
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.26666666666666666,0.00029850746268656717,0.030364372469635626,0.375,0.375,0.6931506849315099,0.0,0.9512388016444605,0.010963770581313259,0.9433198380566807,0.0005605381165919282,0.6666666666666666,0.5115069041424856,0.2905626105383917,0.5367988760402032
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.3333333333333333,0.00044776119402985075,0.04554655870445344,0.375,0.5,0.9150684931506845,0.09655172413793103,0.9503233081124851,0.011139042925116138,0.9387651821862342,0.051569506726457395,0.33333333333333337,0.5097058234940965,0.1491531365019678,0.5596022911488165
0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0.23333333333333334,0.008955223880597015,0.0444331983805668,0.5,0.5,0.7726027397260253,0.017241379310344827,0.9490500933538144,0.015598131938344806,0.9397773279352215,0.020739910313901346,0.6666666666666666,0.5091054632779668,0.08390561017192207,0.5404193234626608
0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0.36666666666666664,0.008955223880597015,0.04473684210526316,0.5,0.5,0.9780821917808282,0.008620689655172414,0.9490254298669589,0.015604044896021296,0.9762145748987834,0.02242152466367713,0.9999999999999999,0.5091054632779668,0.07625754847755772,0.5425267480817032
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.06022267206477733,0.5,0.375,0.9616438356164423,0.08620689655172414,0.9534201108890502,0.010401037953481795,0.9630566801619445,0.033071748878923765,0.16666666666666666,0.5087052231338803,0.23479549401698507,0.4869231600561979
0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0.3,0.005373134328358209,0.05232793522267206,0.375,0.375,0.21369863013698875,0.15689655172413794,0.0,1.0,0.6330971659919022,0.27298206278026904,0.0,0.5077046227736642,0.09995283695288476,0.47325191829676855
